"course_name","total_name","list_of_name"
"Bagaimana Cara Membuat Konsumenmu Terkesan?",73,"Adrian Hane -- Alan Shonely -- Alejandro Grove -- Allen Armold -- Alyssa Tate -- Annie Thurman -- Art Ferguson -- Barry Pond -- Bart Folk -- Becky Pak -- Bill Tyler -- Brian Moss -- Bryan Mills -- Christina DeMoss -- Christine Phan -- Clytie Kelty -- Corinna Mitchell -- Craig Carroll -- Cynthia Delaney -- Damala Kotsonis -- Dan Lawera -- Dave Hallsten -- Deanra Eno -- Delfina Latchford -- Edward Hooks -- Evan Henry -- Filia McAdams -- Giulietta Baptist -- Greg Matthias -- Harold Dahlen -- Harry Marie -- Helen Abelman -- Helen Andreada -- Ivan Liston -- Jack Garza -- Janet Lee -- Jasper Cacioppo -- Jennifer Braxton -- Jim Sink -- John Grady -- Jonathan Doherty -- Jonathan Howell -- Julia West -- Karen Seio -- Karl Braun -- Katherine Hughes -- Kristen Hastings -- Kunst Miller -- Laura Armstrong -- Laurel Workman -- Maribeth Yedwab -- Maurice Satty -- Michael Paige -- Mick Crebagga -- Nat Carroll -- Nicole Fjeld -- Nora Pelletier -- Patrick Bzostek -- Pete Armstrong -- Pete Kriz -- Quincy Jones -- Rob Lucas -- Russell Applegate -- Sally Hughsby -- Sanjit Chand -- Sara Luxemburg -- Suzanne McNair -- Tom Boeckenhauer -- Valerie Mitchum -- Vicky Freymann -- Vivek Grady -- Xylona Preis -- Yana Sorensen"
"Analisis Marketing dan Manajemen Bisnis Retail",73,"Adrian Barton -- Alan Barnes -- Alice McCarthy -- Andy Reiter -- Annie Zypern -- Becky Martin -- Ben Ferrer -- Beth Fritzler -- Bruce Stewart -- Bryan Mills -- Candace McMahon -- Cari Sayre -- Carlos Daly -- Cassandra Brandow -- Christopher Martinez -- Chuck Sachs -- Cindy Chapman -- Claudia Bergmann -- Clay Rozendal -- Daniel Byrd -- Darren Koutras -- Deirdre Greer -- Dorothy Wardle -- Doug Bickford -- Edward Becker -- Eva Jacobs -- Frank Atkinson -- Frank Gastineau -- Fred Chung -- Harry Marie -- Jas O'Carroll -- Jasper Cacioppo -- Jennifer Patt -- Jeremy Pistek -- Jill Stevenson -- Jim Karlsson -- John Castell -- Karen Daniels -- Karen Seio -- Katharine Harms -- Katherine Nockton -- Katrina Bavinger -- Ken Dana -- Ken Lonsdale -- Marc Harrigan -- Maria Etezadi -- Maxwell Schwartz -- Michael Chen -- Mike Kennedy -- Neola Schneider -- Nick Zandusky -- Olvera Toch -- Pauline Johnson -- Pauline Webber -- Quincy Jones -- Rick Wilson -- Rob Dowd -- Robert Waldorf -- Sam Zeldin -- Sanjit Jacobs -- Sean Braxton -- Shahid Hopkins -- Shaun Chance -- Sibella Parks -- Stephanie Ulpright -- Stewart Visinsky -- Sung Chung -- Suzanne McNair -- Toby Ritter -- Tom Ashbrook -- Tonja Turnell -- Troy Staebel -- Xylona Preis"
"Bagaimana Cara Meningkatkan Kinerja Online Marketing?",74,"Alan Haines -- Alex Grayson -- Anthony Johnson -- Ben Ferrer -- Ben Wallace -- Brian Thompson -- Bryan Mills -- Carol Triggs -- Cathy Armstrong -- Chad Cunningham -- Christine Sundaresam -- Claudia Bergmann -- Corey Catlett -- Cynthia Voltz -- Darrin Martin -- Dennis Kane -- Dorothy Badders -- Duane Benoit -- Ed Jacobs -- Edward Becker -- Emily Ducich -- Erica Hernandez -- Erin Smith -- Frank Gastineau -- Fred Wasserman -- Jennifer Patt -- Jim Epp -- Joe Elijah -- Joni Sundaresam -- Keith Dawkins -- Larry Blacks -- Laurel Beltran -- Lena Cacioppo -- Lena Creighton -- Lena Radford -- Lori Olson -- Lynn Smith -- Maria Bertelson -- Maria Etezadi -- Mark Hamilton -- Matt Connell -- Max Ludwig -- Maya Herman -- Michael Kennedy -- Michael Paige -- Muhammed MacIntyre -- Natalie DeCherney -- Natalie Webber -- Neola Schneider -- Nicole Fjeld -- Pete Kriz -- Pierre Wener -- Ralph Arnett -- Richard Eichhorn -- Rick Duston -- Rick Wilson -- Roland Schwarz -- Ruben Dartt -- Sally Matthias -- Seth Vernon -- Shahid Shariari -- Sibella Parks -- Stefania Perrino -- Stephanie Phelps -- Steven Roelle -- Sung Pak -- Susan Pistek -- Sylvia Foulston -- Tamara Manning -- Tanja Norvell -- Theone Pippenger -- Tiffany House -- Victoria Pisteka -- Vivian Mathis"
"Kuasai Google Analytics bagi Pemula",75,"Adrian Barton -- Adrian Hane -- Aleksandra Gannaway -- Anthony Garverick -- Barbara Fisher -- Becky Castell -- Brendan Sweed -- Brian Dahlen -- Bruce Degenhardt -- Candace McMahon -- Carol Adams -- Chad Sievert -- Chloris Kastensmidt -- Chris McAfee -- Christopher Schild -- Claire Gute -- Damala Kotsonis -- Dave Poirier -- David Smith -- Denny Joy -- Eileen Kiefer -- Eric Murdock -- Eugene Hildebrand -- Frank Atkinson -- Gene McClure -- Giulietta Weimer -- Harold Dahlen -- Harry Greene -- Herbert Flentye -- James Galang -- Jane Waco -- Jennifer Ferguson -- Jennifer Patt -- Jeremy Farry -- Jeremy Pistek -- Jim Karlsson -- John Castell -- Joseph Holt -- Joy Smith -- Julia Barnett -- Juliana Krohn -- Justin MacKendrick -- Kalyca Meade -- Katherine Nockton -- Kean Nguyen -- Ken Lonsdale -- Kunst Miller -- Lindsay Castell -- Maria Etezadi -- Marina Lichtenstein -- Matt Abelman -- Max Engle -- Michelle Huthwaite -- Mike Vittorini -- Nick Radford -- Nicole Hansen -- Nona Balk -- Pauline Johnson -- Penelope Sewall -- Pierre Wener -- Randy Ferguson -- Sally Matthias -- Sanjit Jacobs -- Sarah Foster -- Sharelle Roach -- Steve Nguyen -- Steven Cartwright -- Stewart Visinsky -- Toby Carlisle -- Tom Boeckenhauer -- Tom Prescott -- Tonja Turnell -- Vicky Freymann -- Victoria Brennan -- William Brown"
"Belajar Menganalisis Proses Kredit pada Bank",75,"Adam Bellavance -- Alan Dominguez -- Alan Shonely -- Alejandro Grove -- Anthony Witt -- Bart Watters -- Ben Ferrer -- Brenda Bowman -- Brian Dahlen -- Brosina Hoffman -- Bryan Davis -- Bryan Mills -- Cari Schnelling -- Carol Triggs -- Cathy Prescott -- Christine Phan -- Cindy Schnelling -- Darren Koutras -- Dean Braden -- Dennis Pardue -- Dorothy Wardle -- Edward Hooks -- Erin Creighton -- Eugene Moren -- Gary Hansen -- Giulietta Baptist -- Grace Kelly -- Greg Guthrie -- Greg Tran -- Harold Pawlan -- Ivan Liston -- Jamie Kunitz -- Jeremy Lonsdale -- Jim Epp -- John Stevenson -- Justin Ellison -- Justin MacKendrick -- Justin Ritter -- Kalyca Meade -- Katherine Nockton -- Katrina Willman -- Kean Thornton -- Kelly Andreada -- Ken Dana -- Ken Lonsdale -- Kristina Nunn -- Laura Armstrong -- Laurel Workman -- Lauren Leatherbury -- Lindsay Castell -- Lindsay Shagiari -- Logan Currie -- Maria Zettner -- Michael Paige -- Nat Carroll -- Nick Crebassa -- Nora Pelletier -- Patrick O'Donnell -- Ralph Kennedy -- Randy Ferguson -- Resi Polking -- Rob Dowd -- Ross Baird -- Ryan Akin -- Saphhira Shifley -- Scott Williamson -- Sean Braxton -- Sean O'Donnell -- Shahid Collister -- Stefania Perrino -- Steven Cartwright -- Susan Vittorini -- Thomas Boland -- Tom Ashbrook -- Valerie Takahito"
"Bisnis Bank 101",75,"Adam Bellavance -- Adam Hart -- Andrew Allen -- Andrew Gjertsen -- Andy Yotov -- Ann Chong -- Anna Chung -- Barry Franzosisch -- Bart Folk -- Becky Castell -- Brian Moss -- Brian Stugart -- Bryan Mills -- Cari Sayre -- Cassandra Brandow -- Chloris Kastensmidt -- Christopher Conant -- Christy Brittain -- Dan Campbell -- Dean Braden -- Denny Ordway -- Edward Becker -- Elpida Rittenbach -- Emily Phan -- Eric Hoffmann -- Frank Atkinson -- Fred McMath -- Heather Kirkland -- Hilary Holden -- Hunter Lopez -- Jack O'Briant -- Jane Waco -- Jeremy Farry -- Jeremy Lonsdale -- John Murray -- Joseph Holt -- Katrina Willman -- Keith Herrera -- Kristina Nunn -- Laura Armstrong -- Lena Hernandez -- Linda Southworth -- Lynn Smith -- Maria Etezadi -- Maribeth Dona -- Maribeth Schnelling -- Maris LaWare -- Matt Hagelstein -- Maureen Gastineau -- Michael Stewart -- Mick Hernandez -- Natalie Fritzler -- Nathan Gelder -- Nicole Hansen -- Nona Balk -- Nora Paige -- Patricia Hirasaki -- Paul Knutson -- Peter Fuller -- Rachel Payne -- Raymond Buch -- Rob Lucas -- Ryan Crowe -- Sean Wendt -- Shahid Shariari -- Shaun Weien -- Shirley Jackson -- Stefania Perrino -- Steve Nguyen -- Stewart Carmichael -- Sung Pak -- Suzanne McNair -- Theone Pippenger -- Valerie Mitchum -- Zuschuss Carroll"
"Data Cleaning dan Preprocessing dengan R",75,"Aaron Smayling -- Adam Bellavance -- Adrian Barton -- Alan Dominguez -- Alejandro Savely -- Arthur Prichep -- Bart Watters -- Ben Ferrer -- Benjamin Venier -- Beth Paige -- Carl Ludwig -- Carol Triggs -- Cassandra Brandow -- Catherine Glotzbach -- Chad McGuire -- Christopher Schild -- Cindy Schnelling -- Dana Kaydos -- Dario Medina -- Deanra Eno -- Dianna Vittorini -- Dionis Lloyd -- Don Weiss -- Ed Braxton -- Emily Burns -- Emily Phan -- Frank Carlisle -- Frank Olsen -- George Zrebassa -- Georgia Rosenberg -- Greg Guthrie -- Ivan Gibson -- Janet Martin -- Jeremy Farry -- Jim Karlsson -- John Castell -- John Lee -- Joy Smith -- Julie Kriz -- Kelly Andreada -- Ken Black -- Khloe Miller -- Kimberly Carter -- Kristina Nunn -- Larry Tron -- Linda Southworth -- Luke Foster -- Maria Bertelson -- Mark Hamilton -- Maurice Satty -- Michael Dominguez -- Michael Granlund -- Mitch Webber -- Monica Federle -- Nat Carroll -- Natalie DeCherney -- Neola Schneider -- Nona Balk -- Parhena Norris -- Pauline Johnson -- Rick Wilson -- Rob Lucas -- Ruben Dartt -- Russell Applegate -- Sarah Jordon -- Sean O'Donnell -- Stefania Perrino -- Sue Ann Reed -- Sylvia Foulston -- Tiffany House -- Toby Braunhardt -- Tom Boeckenhauer -- Tracy Hopkins -- Troy Staebel -- Trudy Brown"
"Pelajari Konsep Data Warehouse",75,"Allen Rosenblatt -- Andrew Gjertsen -- Arthur Gainer -- Ben Ferrer -- Bill Shonely -- Brian Moss -- Brosina Hoffman -- Bryan Spruell -- Carlos Meador -- Caroline Jumper -- Chloris Kastensmidt -- Clay Ludtke -- Corey Catlett -- Darren Powers -- Dean Katz -- Dennis Kane -- Duane Huffman -- Emily Phan -- Erica Smith -- Frank Hawley -- Harold Ryan -- Helen Andreada -- Henry Goldwyn -- Ionia McGrath -- Jack Garza -- Jamie Frazer -- Jason Gross -- Jennifer Ferguson -- Jeremy Farry -- Joe Kamberova -- John Murray -- Joni Wasserman -- Joy Smith -- Justin Hirsh -- Katherine Hughes -- Katherine Murray -- Kelly Lampkin -- Ken Black -- Laurel Beltran -- Lindsay Shagiari -- Lisa DeCherney -- Liz Thompson -- Lynn Smith -- Maria Etezadi -- Marina Lichtenstein -- Matt Collister -- Matt Connell -- Matthew Clasen -- Michelle Tran -- Mike Gockenbach -- Mike Pelletier -- Neoma Murray -- Noel Staavos -- Paul Prost -- Paul Van Hugh -- Pete Kriz -- Peter McVee -- Phillip Flathmann -- Ralph Ritter -- Ricardo Sperren -- Roger Demir -- Sample Company A -- Sarah Jordon -- Seth Vernon -- Sharelle Roach -- Shui Tom -- Stewart Carmichael -- Sue Ann Reed -- Thomas Brumley -- Tim Brockman -- Tonja Turnell -- Tracy Zic -- Vivian Mathis -- William Brown -- Yana Sorensen"
"Mendesain Web dengan CSS ",75,"Adam Shillingsburg -- Alan Barnes -- Alan Hwang -- Alan Schoenberger -- Alejandro Ballentine -- Andrew Gjertsen -- Andy Reiter -- Andy Yotov -- Arthur Prichep -- Barbara Fisher -- Bart Folk -- Bill Eplett -- Bradley Talbott -- Brian Moss -- Brian Thompson -- Bruce Geld -- Bruce Stewart -- Chris Selesnick -- Corey-Lock -- Dan Campbell -- Darren Koutras -- Darrin Sayre -- Deborah Brumfield -- Dorris liebe -- Elizabeth Moffitt -- Emily Grady -- Eugene Moren -- Grace Kelly -- Harry Marie -- Henry Goldwyn -- Hunter Lopez -- Jane Waco -- Jim Kriz -- Joe Elijah -- Julie Creighton -- Kalyca Meade -- Karen Daniels -- Karen Ferguson -- Katherine Nockton -- Keith Dawkins -- Kimberly Carter -- Lena Creighton -- Lindsay Shagiari -- Liz Carlisle -- Liz MacKendrick -- Mary Zewe -- Maureen Fritzler -- Maurice Satty -- Mick Hernandez -- Natalie Fritzler -- Parhena Norris -- Peter Fuller -- Rachel Payne -- Ralph Ritter -- Resi Polking -- Richard Bierner -- Rob Dowd -- Rob Williams -- Roland Fjeld -- Ruben Ausman -- Ruben Dartt -- Scott Cohen -- Shahid Collister -- Sonia Sunley -- Steve Nguyen -- Steven Roelle -- Sung Shariari -- Susan MacKendrick -- Tamara Manning -- Tamara Willingham -- Tanja Norvell -- Thomas Thornton -- Valerie Dominguez -- Vivian Mathis -- Yana Sorensen"
"Optimalkan Penyimpanan, Akses, dan Pengiriman Data menggunakan Google Drive",76,"Alan Schoenberger -- Andrew Gjertsen -- Anna Haberlin -- Bart Pistole -- Bart Watters -- Ben Ferrer -- Benjamin Venier -- Berenike Kampe -- Beth Paige -- Bradley Drucker -- Charles Crestani -- Chloris Kastensmidt -- Christine Kargatis -- Christopher Schild -- Craig Yedwab -- Dave Brooks -- Denise Monton -- Denny Blanton -- Denny Ordway -- Duane Noonan -- Edward Hooks -- Evan Henry -- Frank Olsen -- Fred Hopkins -- Gary Hansen -- Grace Kelly -- Greg Guthrie -- Greg Tran -- Harold Engle -- Henry Goldwyn -- Irene Maddox -- Jason Fortune- -- Jason Gross -- Jennifer Jackson -- Jeremy Lonsdale -- John Lee -- Joni Wasserman -- Joy Daniels -- Juliana Krohn -- Justin MacKendrick -- Karen Carlisle -- Karl Braun -- Katherine Ducich -- Keith Herrera -- Ken Lonsdale -- Lena Creighton -- Marina Lichtenstein -- Mark Packer -- Matthew Clasen -- Max Engle -- Michael Moore -- Mike Caudle -- Naresj Patel -- Nick Radford -- Noel Staavos -- Nora Pelletier -- Pete Kriz -- Philip Brown -- Phillina Ober -- Richard Bierner -- Roger Barcio -- Sam Craven -- Shahid Collister -- Shahid Hopkins -- Susan Gilcrest -- Tamara Chand -- Tamara Dahlen -- Tom Ashbrook -- Tom Boeckenhauer -- Tom Prescott -- Tracy Collins -- Tracy Hopkins -- Trudy Brown -- Trudy Glocke -- Yana Sorensen -- Zuschuss Carroll"
"Optimalisasi Rekrut Pegawai Terbaik dengan Teknik Wawancara",76,"Aaron Bergman -- Alan Hwang -- Alex Russell -- Allen Rosenblatt -- Andrew Gjertsen -- Anna Andreadi -- Arianne Irving -- Barry Franz -- Bart Pistole -- Ben Wallace -- Bill Donatelli -- Brooke Gillingham -- Carol Adams -- Christina Anderson -- Chuck Clark -- Cynthia Arntzen -- Dan Campbell -- Dave Brooks -- David Smith -- Dianna Vittorini -- Doug Bickford -- Duane Noonan -- Ed Jacobs -- Edward Becker -- Erin Creighton -- Eugene Hildebrand -- Evan Minnotte -- Frank Gastineau -- Fred Chung -- Gary Zandusky -- Greg Guthrie -- Harry Marie -- Helen Abelman -- Henry Goldwyn -- Janet Molinari -- Jeremy Ellison -- John Lee -- Joseph Airdo -- Karen Carlisle -- Ken Lonsdale -- Laura Armstrong -- Laurel Beltran -- Lena Cacioppo -- Lena Creighton -- Linda Southworth -- Logan Currie -- Marina Lichtenstein -- Mark Cousins -- Michelle Arnett -- Michelle Huthwaite -- Mick Hernandez -- Mitch Webber -- Parhena Norris -- Patrick Gardner -- Paul Stevenson -- Pete Takahito -- Quincy Jones -- Resi Polking -- Rick Huthwaite -- Rob Lucas -- Robert Waldorf -- Roger Demir -- Ross DeVincentis -- Sam Zeldin -- Sample Company A -- Shahid Hopkins -- Shaun Chance -- Stefania Perrino -- Susan Pistek -- Suzanne McNair -- Tamara Manning -- Tracy Collins -- Trudy Brown -- Valerie Dominguez -- Valerie Mitchum -- Xylona Preis"
"Konversi Followersmu menjadi Paying Customers",76,"Adam Hart -- Aimee Bixby -- Ann Blume -- Barry Franzosisch -- Bart Watters -- Bill Eplett -- Bill Overfelt -- Cassandra Brandow -- Chris Cortes -- Christine Kargatis -- Christy Brittain -- Clay Ludtke -- Craig Carroll -- Cynthia Voltz -- Dana Kaydos -- Dario Medina -- Darren Powers -- Dave Hallsten -- Dean Katz -- Dianna Vittorini -- Doug Jacobs -- Ellis Ballard -- Frank Carlisle -- Frank Gastineau -- Fred Hopkins -- Gary Hansen -- Greg Tran -- Irene Maddox -- James Galang -- Jamie Frazer -- Janet Lee -- Jay Kimmel -- Jennifer Jackson -- Jeremy Farry -- Joe Elijah -- Joe Kamberova -- John Lee -- Jonathan Doherty -- Joy Daniels -- Karen Ferguson -- Karl Braun -- Katherine Ducich -- Ken Heidel -- Kristina Nunn -- Lena Cacioppo -- Luke Schmidt -- Maribeth Schnelling -- Mary Zewe -- MaryBeth Skach -- Mathew Reese -- Matt Hagelstein -- Max Engle -- Max Ludwig -- Neola Schneider -- Nick Crebassa -- Nick Zandusky -- Peter Fuller -- Philisse Overcash -- Rick Wilson -- Roland Murray -- Ruben Ausman -- Ruben Dartt -- Russell Applegate -- Sanjit Chand -- Scott Cohen -- Shahid Hopkins -- Sharelle Roach -- Shaun Weien -- Speros Goranitis -- Steve Nguyen -- Stewart Visinsky -- Theone Pippenger -- Tom Ashbrook -- Trudy Schmidt -- William Brown -- Xylona Preis"
"Data Warehouse dan Business Intelligence bagi para Manajer",76,"Alan Schoenberger -- Alejandro Ballentine -- Alex Avila -- Allen Armold -- Alyssa Tate -- Anna Haberlin -- Anthony Rawles -- Arthur Gainer -- Bart Watters -- Beth Thompson -- Bobby Elias -- Brian Moss -- Bryan Spruell -- Carl Jackson -- Carol Darley -- Chris Selesnick -- Chuck Clark -- Chuck Magee -- Cynthia Delaney -- Darrin Van Huff -- Dave Poirier -- Deborah Brumfield -- Dennis Pardue -- Denny Blanton -- Dorothy Badders -- Emily Ducich -- Evan Bailliet -- Frank Merwin -- Gene Hale -- Harold Ryan -- Helen Abelman -- Henry Goldwyn -- Jas O'Carroll -- Jason Klamczynski -- Jenna Caffey -- Jeremy Lonsdale -- John Lee -- Joni Blumstein -- Joni Sundaresam -- Joseph Airdo -- Katrina Bavinger -- Ken Black -- Linda Cazamias -- Luke Weiss -- Maribeth Schnelling -- Matt Collister -- Maureen Gastineau -- Max Jones -- Michael Paige -- Mike Pelletier -- Natalie Webber -- Nathan Cano -- Pamela Coakley -- Patrick Gardner -- Philisse Overcash -- Phillina Ober -- Phillip Flathmann -- Rick Duston -- Rob Lucas -- Roger Demir -- Ross DeVincentis -- Russell Applegate -- Sarah Foster -- Stephanie Phelps -- Stephanie Ulpright -- Steve Carroll -- Stuart Calhoun -- Tamara Manning -- Theone Pippenger -- Thomas Seio -- Toby Swindell -- Todd Sumrall -- Tracy Blumstein -- Tracy Collins -- Trudy Brown -- Trudy Schmidt"
"Membersihkan dan Memanipulasi Data menggunakan Excel ",76,"Alan Dominguez -- Alan Hwang -- Ann Chong -- Anna Andreadi -- Anna Haberlin -- Anne Pryor -- Art Ferguson -- Arthur Wiediger -- Bart Pistole -- Ben Peterman -- Benjamin Venier -- Brenda Bowman -- Brian DeCherney -- Carl Ludwig -- Carlos Meador -- Chad McGuire -- Chad Sievert -- Charlotte Melton -- Christopher Conant -- Christopher Schild -- Darren Budd -- Darrin Martin -- Darrin Sayre -- David Wiener -- Dionis Lloyd -- Duane Benoit -- Elizabeth Moffitt -- Erica Hernandez -- Filia McAdams -- Fred McMath -- Greg Tran -- Harold Engle -- Jamie Frazer -- Janet Molinari -- Jesus Ocampo -- Jim Kriz -- John Stevenson -- Julia Barnett -- Julie Creighton -- Kalyca Meade -- Karen Carlisle -- Katharine Harms -- Kean Takahito -- Keith Herrera -- Kimberly Carter -- Kristen Hastings -- Marc Harrigan -- Maria Etezadi -- Maria Zettner -- Matt Abelman -- Matthew Grinstein -- Michael Granlund -- Michael Nguyen -- Michelle Arnett -- Nat Gilpin -- Natalie Webber -- Paul MacIntyre -- Paul Prost -- Pete Kriz -- Philisse Overcash -- Rob Dowd -- Rob Haberlin -- Sam Zeldin -- Scot Coram -- Scot Wooten -- Seth Vernon -- Sheri Gordon -- Shui Tom -- Steven Cartwright -- Stewart Visinsky -- Suzanne McNair -- Sylvia Foulston -- Ted Butterfield -- Theresa Swint -- Thomas Boland -- Victoria Pisteka"
"Presentasikan Hasilmu Secara Jelas, Powerful, dan Meyakinkan.",77,"Alan Hwang -- Anna Haberlin -- Barry Gonzalez -- Brian Moss -- Bryan Davis -- Carl Ludwig -- Carl Weiss -- Chloris Kastensmidt -- Chris Selesnick -- Christopher Martinez -- Chuck Clark -- Claudia Bergmann -- Clay Ludtke -- Craig Carroll -- Damala Kotsonis -- Darrin Martin -- David Kendrick -- Dean percer -- Delfina Latchford -- Edward Hooks -- Erin Creighton -- Eudokia Martin -- Eugene Hildebrand -- Frank Hawley -- Hallie Redmond -- Henry MacAllister -- Herbert Flentye -- Jay Kimmel -- Jeremy Lonsdale -- Jim Mitchum -- Joe Kamberova -- Joel Eaton -- John Murray -- Julie Prescott -- Justin Deggeller -- Karen Seio -- Kelly Lampkin -- Logan Currie -- Lynn Smith -- Marina Lichtenstein -- Mary Zewe -- Matt Hagelstein -- Meg Tillman -- Michael Dominguez -- Michael Grace -- Mick Crebagga -- Naresj Patel -- Natalie Fritzler -- Olvera Toch -- Paul Gonzalez -- Paul Prost -- Peter Fuller -- Phillina Ober -- Phillip Flathmann -- Randy Bradley -- Ricardo Emerson -- Rob Williams -- Ross Baird -- Roy Franzosisch -- Sally Knutson -- Sara Luxemburg -- Sarah Foster -- Scott Cohen -- Seth Vernon -- Shahid Collister -- Sheri Gordon -- Shirley Jackson -- Steven Roelle -- Sue Ann Reed -- Susan Vittorini -- Suzanne McNair -- Tamara Dahlen -- Thomas Boland -- Tim Brockman -- Toby Swindell -- Todd Boyes -- Tracy Blumstein"
"Storytelling untuk Bisnis",77,"Adrian Barton -- Alan Dominguez -- Anna Gayman -- Arthur Prichep -- Ben Wallace -- Beth Thompson -- Bill Eplett -- Brian DeCherney -- Carlos Soltero -- Christine Kargatis -- Clay Rozendal -- Clytie Kelty -- Cynthia Arntzen -- Cynthia Voltz -- Daniel Raglin -- Darrin Martin -- Dave Hallsten -- Dennis Kane -- Denny Blanton -- Emily Burns -- Erin Ashbrook -- Eugene Hildebrand -- Frank Gastineau -- Gary Mitchum -- Gene McClure -- Georgia Rosenberg -- Harold Engle -- Harry Greene -- Ivan Liston -- Janet Martin -- Jay Fein -- Jim Epp -- Joe Kamberova -- John Murray -- Jonathan Howell -- Julie Kriz -- Karen Ferguson -- Keith Herrera -- Lena Cacioppo -- Lisa Ryan -- Liz MacKendrick -- Mary Zewe -- Matt Abelman -- Max Engle -- Michael Chen -- Michael Kennedy -- Michelle Ellison -- Mick Hernandez -- Mike Vittorini -- Mitch Gastineau -- Monica Federle -- Nat Gilpin -- Nathan Mautz -- Neoma Murray -- Patrick O'Brill -- Paul Prost -- Peter Fuller -- Rachel Payne -- Rob Lucas -- Ross Baird -- Ryan Crowe -- Sam Zeldin -- Sandra Flanagan -- Sanjit Engle -- Sarah Brown -- Shahid Shariari -- Shui Tom -- Skye Norling -- Steven Cartwright -- Stewart Visinsky -- Susan Pistek -- Tamara Manning -- Tom Ashbrook -- Tony Chapman -- Victoria Wilson -- William Brown -- Xylona Preis"
"Fundamental dan Permodelan Analisis Finansial",77,"Aimee Bixby -- Alan Hwang -- Alan Schoenberger -- Alejandro Ballentine -- Anne Pryor -- Arthur Prichep -- Christina Anderson -- Clytie Kelty -- Dan Campbell -- Dan Reichenbach -- Dana Kaydos -- Darren Powers -- Darrin Sayre -- Dave Hallsten -- David Bremer -- Dean Braden -- Dean percer -- Frank Atkinson -- Frank Hawley -- Frank Merwin -- Gary Hansen -- Gary Mitchum -- George Ashbrook -- Giulietta Baptist -- Helen Wasserman -- Hunter Glantz -- Janet Martin -- Jennifer Patt -- Jim Epp -- Jim Kriz -- John Castell -- Jonathan Doherty -- Julie Creighton -- Karen Bern -- Katrina Edelman -- Keith Dawkins -- Kelly Lampkin -- Lena Creighton -- Logan Haushalter -- Luke Weiss -- Magdelene Morse -- Marc Harrigan -- Marina Lichtenstein -- Mark Haberlin -- Mark Hamilton -- MaryBeth Skach -- Matthew Clasen -- Meg Tillman -- Michael Granlund -- Michael Kennedy -- Michael Moore -- Michael Stewart -- Michelle Moray -- Nat Gilpin -- Odella Nelson -- Paul Gonzalez -- Paul Prost -- Penelope Sewall -- Pete Kriz -- Phillip Flathmann -- Ruben Dartt -- Sally Hughsby -- Sandra Flanagan -- Saphhira Shifley -- Seth Vernon -- Shaun Weien -- Sibella Parks -- Sue Ann Reed -- Sylvia Foulston -- Tamara Chand -- Ted Trevino -- Theone Pippenger -- Thomas Seio -- Thomas Thornton -- Toby Gnade -- William Brown -- Xylona Preis"
"Statistika untuk Analisis Bisnis dan Sains Data",77,"Allen Goldenen -- Anna Andreadi -- Anne Pryor -- Annie Thurman -- Anthony Johnson -- Art Ferguson -- Arthur Prichep -- Barry Franz -- Barry Weirich -- Becky Castell -- Bill Tyler -- Brenda Bowman -- Brian Derr -- Brian Moss -- Christina VanderZanden -- Chuck Sachs -- Craig Molinari -- Dan Campbell -- Delfina Latchford -- Denny Ordway -- Don Jones -- Duane Huffman -- Edward Hooks -- Erin Ashbrook -- Frank Carlisle -- Frank Hawley -- Heather Kirkland -- Helen Wasserman -- Herbert Flentye -- Irene Maddox -- Jack Lebron -- Jesus Ocampo -- Jim Mitchum -- Justin Deggeller -- Katrina Edelman -- Keith Herrera -- Larry Tron -- Lena Cacioppo -- Lena Hernandez -- Lindsay Shagiari -- Logan Haushalter -- Luke Schmidt -- Lycoris Saunders -- Maria Etezadi -- Mark Van Huff -- Maureen Gastineau -- Maurice Satty -- Maxwell Schwartz -- Michael Moore -- Michelle Huthwaite -- Mike Pelletier -- Nat Gilpin -- Natalie Fritzler -- Nathan Gelder -- Neil Knudson -- Paul Gonzalez -- Paul Van Hugh -- Pauline Johnson -- Pete Kriz -- Philip Fox -- Pierre Wener -- Raymond Buch -- Rick Huthwaite -- Rob Beeghly -- Roy Collins -- Ryan Akin -- Sean Miller -- Shirley Daniels -- Stefanie Holloman -- Steven Cartwright -- Steven Ward -- Sung Shariari -- Tom Prescott -- Tom Stivers -- Tony Chapman -- Vivek Gonzalez -- Vivek Sundaresam"
